date_iso,date_human,title,company,location,apply,source,department
2025-09-28,"Sep 28, 2025",Product Owner - Coupa,asana,San Francisco,https://www.asana.com/jobs/apply/7272952?gh_jid=7272952,greenhouse,
2025-09-27,"Sep 27, 2025",Business Development Rep Associate,block,"Toronto, Ontario, Canada",http://block.xyz/careers/jobs/4931888008?gh_jid=4931888008,greenhouse,
2025-09-27,"Sep 27, 2025",Account Management Enablement Program Manager,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4933067008?gh_jid=4933067008,greenhouse,
2025-09-26,"Sep 26, 2025",Vendor Operations Coordinator – BPO,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4742877008?gh_jid=4742877008,greenhouse,
2025-09-26,"Sep 26, 2025","Staff Product Designer, Core Experience",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4913901008?gh_jid=4913901008,greenhouse,
2025-09-26,"Sep 26, 2025",Senior Software Engineer - Safety Experience,discord,San Francisco Bay Area (U.S.),https://job-boards.greenhouse.io/discord/jobs/8183147002,greenhouse,
2025-09-26,"Sep 26, 2025",Senior Network Security Engineer,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4896147008?gh_jid=4896147008,greenhouse,
2025-09-26,"Sep 26, 2025","Senior Designer, Square Australia",block,"Melbourne, Australia",http://block.xyz/careers/jobs/4935630008?gh_jid=4935630008,greenhouse,
2025-09-26,"Sep 26, 2025",Salesforce Engineering Manager,brex,"San Francisco, California, United States",https://www.brex.com/careers/7950552002?gh_jid=7950552002,greenhouse,
2025-09-26,"Sep 26, 2025",Salesforce Engineering Manager,brex,"São Paulo, São Paulo, Brazil",https://www.brex.com/careers/8188031002?gh_jid=8188031002,greenhouse,
2025-09-26,"Sep 26, 2025","Program Support, Issuing Programs",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4915521008?gh_jid=4915521008,greenhouse,
2025-09-26,"Sep 26, 2025","Product Readiness Program Manager, Field Readiness",asana,Chicago,https://www.asana.com/jobs/apply/7264494?gh_jid=7264494,greenhouse,
2025-09-26,"Sep 26, 2025","Principal Platform Engineer, ML Platform",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7185278?gh_jid=7185278,greenhouse,
2025-09-26,"Sep 26, 2025","Mandarin-speaking Territory Account Executive, San Gabriel Valley",block,"Los Angeles, CA, United States of America",http://block.xyz/careers/jobs/4933278008?gh_jid=4933278008,greenhouse,
2025-09-26,"Sep 26, 2025","Manager, Field Sales",block,"Saint Louis, MO, United States of America",http://block.xyz/careers/jobs/4931900008?gh_jid=4931900008,greenhouse,
2025-09-26,"Sep 26, 2025",Machine Learning Engineer,block,"Melbourne, Australia",http://block.xyz/careers/jobs/4912447008?gh_jid=4912447008,greenhouse,
2025-09-26,"Sep 26, 2025","Issuer Processor Operations Partner, Card Issuing",block,"Seattle, WA, United States of America",http://block.xyz/careers/jobs/4936121008?gh_jid=4936121008,greenhouse,
