date_iso,date_human,title,company,location,apply,source,department
2025-09-23,"Sep 23, 2025","Software Engineer, Application Security",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/6863924?gh_jid=6863924,greenhouse,
2025-09-23,"Sep 23, 2025",Head of Events,brex,"Seattle, Washington, United States",https://www.brex.com/careers/8181497002?gh_jid=8181497002,greenhouse,
2025-09-23,"Sep 23, 2025",Head of Events,brex,"San Francisco, California, United States",https://www.brex.com/careers/8181493002?gh_jid=8181493002,greenhouse,
2025-09-23,"Sep 23, 2025",Head of Events,brex,"New York, New York, United States",https://www.brex.com/careers/8181496002?gh_jid=8181496002,greenhouse,
2025-09-22,"Sep 22, 2025",Workplace Programs Lead,brex,"New York, New York, United States",https://www.brex.com/careers/8178247002?gh_jid=8178247002,greenhouse,
2025-09-22,"Sep 22, 2025",Workplace Lead,asana,"Vancouver, BC",https://www.asana.com/jobs/apply/6976256?gh_jid=6976256,greenhouse,
2025-09-22,"Sep 22, 2025",Workplace Design Program Manager,coinbase,Remote - USA,https://www.coinbase.com/careers/positions/7258709?gh_jid=7258709,greenhouse,
2025-09-22,"Sep 22, 2025","Visual Designer, Contract",datadog,"New York, New York, USA",https://careers.datadoghq.com/detail/7263543/?gh_jid=7263543,greenhouse,
2025-09-22,"Sep 22, 2025","Strategic Program Manager, Global Public Affairs",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7259111?gh_jid=7259111,greenhouse,
2025-09-22,"Sep 22, 2025",Strategic Finance Associate - NYC,datadog,"New York, New York, USA",https://careers.datadoghq.com/detail/7262906/?gh_jid=7262906,greenhouse,
2025-09-22,"Sep 22, 2025","Staff Software Engineer, Trading",coinbase,Remote - Singapore,https://www.coinbase.com/careers/positions/7010523?gh_jid=7010523,greenhouse,
2025-09-22,"Sep 22, 2025","Staff Software Engineer, Platform Security",discord,San Francisco Bay Area,https://job-boards.greenhouse.io/discord/jobs/8177912002,greenhouse,
2025-09-22,"Sep 22, 2025","Software Engineer, Backend - DevX",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/6981984?gh_jid=6981984,greenhouse,
2025-09-22,"Sep 22, 2025",Senior/Principal Machine Learning Engineer - Core AI,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7246965?gh_jid=7246965,greenhouse,
2025-09-22,"Sep 22, 2025","Senior Technical Program Manager, Creator",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7254934?gh_jid=7254934,greenhouse,
2025-09-22,"Sep 22, 2025","Senior Staff Software Engineer, Backend (Platform - FinHub)",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/6485609?gh_jid=6485609,greenhouse,
2025-09-22,"Sep 22, 2025",Senior Software Engineer - Threat Intelligence & Detection Experiences (TIDEx),datadog,"New York, New York, USA",https://careers.datadoghq.com/detail/7264409/?gh_jid=7264409,greenhouse,
2025-09-22,"Sep 22, 2025",Senior Software Engineer - Engine UI ,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7260757?gh_jid=7260757,greenhouse,
2025-09-22,"Sep 22, 2025","Senior Manager, Education Policy",roblox,United Kingdom,https://careers.roblox.com/jobs/7260973?gh_jid=7260973,greenhouse,
2025-09-22,"Sep 22, 2025",Senior Manager of Policy Communications ,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7263286?gh_jid=7263286,greenhouse,
2025-09-22,"Sep 22, 2025",Senior Machine Learning - Core AI,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7249513?gh_jid=7249513,greenhouse,
2025-09-22,"Sep 22, 2025","Senior Financial Analyst, FP&A",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/7253510?gh_jid=7253510,greenhouse,
2025-09-22,"Sep 22, 2025","Senior Data Science Manager, Core Product",discord,San Francisco Bay Area,https://job-boards.greenhouse.io/discord/jobs/8174003002,greenhouse,
2025-09-22,"Sep 22, 2025",Senior Data Engineer,roblox,"Gurugram, Haryana, India",https://careers.roblox.com/jobs/7142522?gh_jid=7142522,greenhouse,
2025-09-22,"Sep 22, 2025","Senior Associate, Broker Dealer Operations ",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/7255834?gh_jid=7255834,greenhouse,
2025-09-22,"Sep 22, 2025","Senior Analyst, Tech Risk and Controls",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/7187852?gh_jid=7187852,greenhouse,
2025-09-22,"Sep 22, 2025","Senior Analyst, Tech Risk",coinbase,Remote - India,https://www.coinbase.com/careers/positions/7180857?gh_jid=7180857,greenhouse,
2025-09-22,"Sep 22, 2025","Senior Analyst, Tech Risk",coinbase,Remote - Singapore,https://www.coinbase.com/careers/positions/7180858?gh_jid=7180858,greenhouse,
2025-09-22,"Sep 22, 2025",Security Compliance Associate Manager,coinbase,Remote - UK,https://www.coinbase.com/careers/positions/7217751?gh_jid=7217751,greenhouse,
2025-09-22,"Sep 22, 2025",Recruiter - Sales - Contract,datadog,"Denver, Colorado, USA",https://careers.datadoghq.com/detail/7082196/?gh_jid=7082196,greenhouse,
2025-09-22,"Sep 22, 2025",People Scientist ,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7081922?gh_jid=7081922,greenhouse,
2025-09-22,"Sep 22, 2025","Marketing Operations Manager, Campaigns ",figma,"San Francisco, CA • New York, NY • United States",https://boards.greenhouse.io/figma/jobs/5609861004?gh_jid=5609861004,greenhouse,
2025-09-22,"Sep 22, 2025","Marketing Manager, Live Content",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7260808?gh_jid=7260808,greenhouse,
2025-09-22,"Sep 22, 2025","Manager, Networking",datadog,"New York, New York, USA",https://careers.datadoghq.com/detail/6632056/?gh_jid=6632056,greenhouse,
2025-09-22,"Sep 22, 2025","Manager, GTM Finance",figma,"San Francisco, CA • New York, NY • United States",https://boards.greenhouse.io/figma/jobs/5537975004?gh_jid=5537975004,greenhouse,
2025-09-22,"Sep 22, 2025","Manager, Customer Success - Denver",datadog,"Denver, Colorado, USA",https://careers.datadoghq.com/detail/7254173/?gh_jid=7254173,greenhouse,
2025-09-22,"Sep 22, 2025","Manager, Broker Dealer Operations ",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/7255846?gh_jid=7255846,greenhouse,
2025-09-22,"Sep 22, 2025",Enterprise IT Support Technician I (EMEA),datadog,"Paris, France",https://careers.datadoghq.com/detail/7262894/?gh_jid=7262894,greenhouse,
2025-09-22,"Sep 22, 2025",Enterprise Account Executive,asana,Switzerland - Remote,https://www.asana.com/jobs/apply/7111108?gh_jid=7111108,greenhouse,
2025-09-22,"Sep 22, 2025",Enterprise Account Executive,asana,US - Remote,https://www.asana.com/jobs/apply/5694272?gh_jid=5694272,greenhouse,
2025-09-22,"Sep 22, 2025",Email Marketing Manager,figma,"San Francisco, CA • New York, NY • United States",https://boards.greenhouse.io/figma/jobs/5553315004?gh_jid=5553315004,greenhouse,
2025-09-22,"Sep 22, 2025","Early Career, Software Engineer (2026) ",figma,"San Francisco, CA • New York, NY",https://boards.greenhouse.io/figma/jobs/5616603004?gh_jid=5616603004,greenhouse,
2025-09-22,"Sep 22, 2025",Corporate Account Executive,asana,Munich,https://www.asana.com/jobs/apply/7111095?gh_jid=7111095,greenhouse,
2025-09-22,"Sep 22, 2025",Business Value Manager (NYC),datadog,"New York, New York, USA",https://careers.datadoghq.com/detail/7242481/?gh_jid=7242481,greenhouse,
2025-09-22,"Sep 22, 2025",Business Development Representative,asana,Dublin,https://www.asana.com/jobs/apply/7172914?gh_jid=7172914,greenhouse,
2025-09-22,"Sep 22, 2025",Accounts Payable Processor,roblox,"Gurugram, Haryana, India",https://careers.roblox.com/jobs/7257363?gh_jid=7257363,greenhouse,
2025-09-20,"Sep 20, 2025","Senior Manager, Law Enforcement Liaison (U.S. Southwest)",roblox,Remote; United States,https://careers.roblox.com/jobs/7261532?gh_jid=7261532,greenhouse,
2025-09-20,"Sep 20, 2025","Senior Manager, Law Enforcement Liaison (U.S. Southeast)",roblox,Remote; United States,https://careers.roblox.com/jobs/7261488?gh_jid=7261488,greenhouse,
2025-09-20,"Sep 20, 2025","Senior Manager, Law Enforcement Liaison (U.S. Midwest)",roblox,Remote; United States,https://careers.roblox.com/jobs/7260882?gh_jid=7260882,greenhouse,
2025-09-20,"Sep 20, 2025","Distinguished Engineer, Machine Learning - Discovery ",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6330894?gh_jid=6330894,greenhouse,
2025-09-20,"Sep 20, 2025",Commercial Account Executive,brex,"Seattle, Washington, United States",https://www.brex.com/careers/8178537002?gh_jid=8178537002,greenhouse,
2025-09-20,"Sep 20, 2025",Commercial Account Executive,brex,"San Francisco, California, United States",https://www.brex.com/careers/8178536002?gh_jid=8178536002,greenhouse,
