date_iso,date_human,title,company,location,apply_url,source
2025-08-25,"Aug 25, 2025",Commercial Account Executive,datadog,"{'name': 'Tokyo, Japan'}",https://careers.datadoghq.com/detail/6009777/?gh_jid=6009777,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Account Executive,datadog,"{'name': 'Bangalore, India'}",https://careers.datadoghq.com/detail/6512321/?gh_jid=6512321,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Account Executive,datadog,"{'name': 'Denver, Colorado, USA'}",https://careers.datadoghq.com/detail/1694375/?gh_jid=1694375,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Account Executive (Boston),datadog,"{'name': 'Boston, Massachusetts, USA'}",https://careers.datadoghq.com/detail/1497543/?gh_jid=1497543,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Account Executive (CEE),datadog,"{'name': 'Amsterdam, The Netherlands; Dublin, Ireland'}",https://careers.datadoghq.com/detail/5364865/?gh_jid=5364865,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Account Executive (DACH),datadog,"{'name': 'Amsterdam, The Netherlands; Dublin, Ireland'}",https://careers.datadoghq.com/detail/5283132/?gh_jid=5283132,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Account Executive (Portuguese Speaking),datadog,"{'name': 'Sao Paulo, Brazil'}",https://careers.datadoghq.com/detail/6586088/?gh_jid=6586088,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Account Executive - LATAM (Spanish Speaking),datadog,"{'name': 'Mexico City, Mexico'}",https://careers.datadoghq.com/detail/6701845/?gh_jid=6701845,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Sales Engineer (Boston),datadog,"{'name': 'Boston, Massachusetts, USA'}",https://careers.datadoghq.com/detail/6713805/?gh_jid=6713805,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Sales Engineer (Customer Success) - French-speaking,datadog,"{'name': 'Amsterdam, The Netherlands; Dublin, Ireland'}",https://careers.datadoghq.com/detail/7140223/?gh_jid=7140223,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Sales Engineer (Spanish-Speaking),datadog,"{'name': 'Amsterdam, The Netherlands; Dublin, Ireland'}",https://careers.datadoghq.com/detail/7102587/?gh_jid=7102587,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Sales Engineer - Denver,datadog,"{'name': 'Denver, Colorado, USA'}",https://careers.datadoghq.com/detail/6602630/?gh_jid=6602630,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Commercial Sales Engineer - Mexico City,datadog,"{'name': 'Mexico City, Mexico'}",https://careers.datadoghq.com/detail/6526559/?gh_jid=6526559,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Corporate Development Lead,datadog,"{'name': 'New York, New York, USA; San Francisco, California, USA'}",https://careers.datadoghq.com/detail/7093471/?gh_jid=7093471,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Customer Success Associate,datadog,"{'name': 'Tokyo, Japan'}",https://careers.datadoghq.com/detail/5486716/?gh_jid=5486716,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Customer Success Associate,datadog,"{'name': 'Sydney, Australia'}",https://careers.datadoghq.com/detail/6989535/?gh_jid=6989535,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Customer Success Associate,datadog,"{'name': 'Seoul, South Korea'}",https://careers.datadoghq.com/detail/7061137/?gh_jid=7061137,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Customer Success Associate,datadog,"{'name': 'Tokyo, Japan'}",https://careers.datadoghq.com/detail/6009779/?gh_jid=6009779,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Customer Success Manager,datadog,"{'name': 'Tokyo, Japan'}",https://careers.datadoghq.com/detail/6457212/?gh_jid=6457212,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Customer Success Manager,datadog,"{'name': 'Tokyo, Japan'}",https://careers.datadoghq.com/detail/6457229/?gh_jid=6457229,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Customer Success Manager - Boston (Portuguese Speaking),datadog,"{'name': 'Boston, Massachusetts, USA'}",https://careers.datadoghq.com/detail/7008384/?gh_jid=7008384,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Director, Demand Generation - Paid & SEO Strategies",datadog,"{'name': 'New York, New York, USA'}",https://careers.datadoghq.com/detail/6907826/?gh_jid=6907826,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Director, Enterprise Security Sales",datadog,"{'name': 'Chicago, Illinois, USA; San Francisco, California, USA'}",https://careers.datadoghq.com/detail/7129430/?gh_jid=7129430,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Director, Enterprise Security Sales",datadog,"{'name': 'Boston, Massachusetts, USA; New York, New York, USA'}",https://careers.datadoghq.com/detail/7129436/?gh_jid=7129436,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Engineering Manager I - Threat Intelligence Research,datadog,"{'name': 'Boston, Massachusetts, USA; New York, New York, USA'}",https://careers.datadoghq.com/detail/7181025/?gh_jid=7181025,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Enterprise Sales Engineer,datadog,"{'name': 'Osaka, Japan'}",https://careers.datadoghq.com/detail/6430289/?gh_jid=6430289,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Enterprise Sales Engineer,datadog,"{'name': 'Osaka, Japan'}",https://careers.datadoghq.com/detail/6703351/?gh_jid=6703351,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Enterprise Security Sales Specialist,datadog,"{'name': 'Texas, USA, Remote'}",https://careers.datadoghq.com/detail/7132867/?gh_jid=7132867,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Enterprise Security Sales Specialist,datadog,"{'name': 'Florida, USA, Remote; Georgia, USA, Remote'}",https://careers.datadoghq.com/detail/7132132/?gh_jid=7132132,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Enterprise Security Sales Specialist,datadog,"{'name': 'Boston, Massachusetts, USA; New York, New York, USA'}",https://careers.datadoghq.com/detail/7129425/?gh_jid=7129425,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Field CTO - Media & Entertainment,datadog,"{'name': 'New York, New York, USA; San Francisco, California, USA'}",https://careers.datadoghq.com/detail/7159384/?gh_jid=7159384,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",GTM Strategy and Operations Associate,datadog,"{'name': 'Boston, Massachusetts, USA; New York, New York, USA'}",https://careers.datadoghq.com/detail/7172130/?gh_jid=7172130,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",GTM Strategy and Operations Associate - Enterprise Sales,datadog,"{'name': 'New York, New York, USA'}",https://careers.datadoghq.com/detail/7166206/?gh_jid=7166206,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Head of APJ Sales Engineering (Commercial & Mid-Market),datadog,"{'name': 'Singapore, Singapore'}",https://careers.datadoghq.com/detail/7109311/?gh_jid=7109311,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Head of APJ Sales Engineering (Commercial & Mid-Market),datadog,"{'name': 'Sydney, Australia'}",https://careers.datadoghq.com/detail/7110107/?gh_jid=7110107,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Head of Channels & Alliances, Japan",datadog,"{'name': 'Tokyo, Japan'}",https://careers.datadoghq.com/detail/6946672/?gh_jid=6946672,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Manager 1, Technical Support Engineering - Brazil",datadog,"{'name': 'Sao Paulo, Brazil'}",https://careers.datadoghq.com/detail/7181127/?gh_jid=7181127,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Manager II, Engineering - Internal Services Platform: Workloads & Integrations",datadog,"{'name': 'New York, New York, USA'}",https://careers.datadoghq.com/detail/7184953/?gh_jid=7184953,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Manager, Commercial Sales",datadog,"{'name': 'Tokyo, Japan'}",https://careers.datadoghq.com/detail/5661424/?gh_jid=5661424,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Manager, Commercial Sales",datadog,"{'name': 'Seoul, South Korea'}",https://careers.datadoghq.com/detail/6825958/?gh_jid=6825958,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Manager, Commercial Sales",datadog,"{'name': 'Seoul, South Korea'}",https://careers.datadoghq.com/detail/6826009/?gh_jid=6826009,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Manager, Commercial Sales - LATAM (Portuguese Speaking)",datadog,"{'name': 'Denver, Colorado, USA'}",https://careers.datadoghq.com/detail/7094687/?gh_jid=7094687,Greenhouse:datadog
2025-08-25,"Aug 25, 2025","Manager, Mid-Market Sales (Benelux & Nordics)",datadog,"{'name': 'Amsterdam, The Netherlands'}",https://careers.datadoghq.com/detail/7186071/?gh_jid=7186071,Greenhouse:datadog
2025-08-25,"Aug 25, 2025",Mid Market Account Executive (Benelux),datadog,"{'name': 'Amsterdam, The Netherlands'}",https://careers.datadoghq.com/detail/6848374/?gh_jid=6848374,Greenhouse:datadog
